Cohort,Sex,Births,Year
Under 15 years,Female,0,2014
15-19 years,Female,155,2014
20-24 years,Female,445,2014
25-29 years,Female,920,2014
30-34 years,Female,985,2014
35-39 years,Female,390,2014
40-44 years,Female,70,2014
45-49 years,Female,0,2014
50 years and over,Female,0,2014
Under 15 years,Male,0,2014
15-19 years,Male,175,2014
20-24 years,Male,555,2014
25-29 years,Male,970,2014
30-34 years,Male,930,2014
35-39 years,Male,385,2014
40-44 years,Male,70,2014
45-49 years,Male,7,2014
50 years and over,Male,0,2014
Under 15 years,Female,0,2019
15-19 years,Female,83,2019
20-24 years,Female,493,2019
25-29 years,Female,847,2019
30-34 years,Female,889,2019
35-39 years,Female,440,2019
40-44 years,Female,69,2019
45-49 years,Female,6,2019
50 years and over,Female,0,2019
Under 15 years,Male,0,2019
15-19 years,Male,94,2019
20-24 years,Male,513,2019
25-29 years,Male,850,2019
30-34 years,Male,894,2019
35-39 years,Male,474,2019
40-44 years,Male,67,2019
45-49 years,Male,7,2019
Under 15 years,Female,0,2024
15-19 years,Female,59,2024
20-24 years,Female,355,2024
25-29 years,Female,690,2024
30-34 years,Female,892,2024
35-39 years,Female,506,2024
40-44 years,Female,101,2024
45-49 years,Female,1,2024
50 years and over,Female,0,2024
Under 15 years,Male,0,2024
15-19 years,Male,54,2024
20-24 years,Male,388,2024
25-29 years,Male,751,2024
30-34 years,Male,952,2024
35-39 years,Male,512,2024
40-44 years,Male,86,2024
45-49 years,Male,4,2024
50 years and over,Male,4,2024
