Sex,Cohort,Deaths,Year
Female,Under 5,14,2024
Female,5-9 years,1,2024
Female,10-14 years,2,2024
Female,15-19 years,5,2024
Female,20-24 years,8,2024
Female,25-29 years,12,2024
Female,30-34 years,21,2024
Female,35-39 years,24,2024
Female,40-44 years,27,2024
Female,45-49 years,21,2024
Female,50-54 years,45,2024
Female,55-59 years,99,2024
Female,60-64 years,130,2024
Female,65-69 years,160,2024
Female,70-74 years,228,2024
Female,75-79 years,268,2024
Female,80-84 years,349,2024
Female,Over 85,888,2024
Male,Under 5,18,2024
Male,5-9 years,5,2024
Male,10-14 years,8,2024
Male,15-19 years,13,2024
Male,20-24 years,29,2024
Male,25-29 years,30,2024
Male,30-34 years,65,2024
Male,35-39 years,52,2024
Male,40-44 years,56,2024
Male,45-49 years,86,2024
Male,50-54 years,96,2024
Male,55-59 years,159,2024
Male,60-64 years,206,2024
Male,65-69 years,292,2024
Male,70-74 years,323,2024
Male,75-79 years,345,2024
Male,80-84 years,359,2024
Male,Over 85,576,2024
Female,Under 5,16,2019
Female,5-9 years,2,2019
Female,10-14 years,3,2019
Female,15-19 years,6,2019
Female,20-24 years,10,2019
Female,25-29 years,14,2019
Female,30-34 years,19,2019
Female,35-39 years,14,2019
Female,40-44 years,17,2019
Female,45-49 years,28,2019
Female,50-54 years,55,2019
Female,55-59 years,117,2019
Female,60-64 years,130,2019
Female,65-69 years,165,2019
Female,70-74 years,177,2019
Female,75-79 years,209,2019
Female,80-84 years,271,2019
Female,Over 85,918,2019
Male,Under 5,21,2019
Male,5-9 years,1,2019
Male,10-14 years,2,2019
Male,15-19 years,15,2019
Male,20-24 years,27,2019
Male,25-29 years,32,2019
Male,30-34 years,32,2019
Male,35-39 years,46,2019
Male,40-44 years,41,2019
Male,45-49 years,64,2019
Male,50-54 years,93,2019
Male,55-59 years,132,2019
Male,60-64 years,221,2019
Male,65-69 years,239,2019
Male,70-74 years,262,2019
Male,75-79 years,261,2019
Male,80-84 years,271,2019
Male,Over 85,596,2019
Female,Under 5,10,2014
Female,5-9 years,1,2014
Female,10-14 years,0,2014
Female,15-19 years,4,2014
Female,20-24 years,13,2014
Female,25-29 years,12,2014
Female,30-34 years,14,2014
Female,35-39 years,11,2014
Female,40-44 years,26,2014
Female,45-49 years,34,2014
Female,50-54 years,66,2014
Female,55-59 years,79,2014
Female,60-64 years,102,2014
Female,65-69 years,123,2014
Female,70-74 years,143,2014
Female,75-79 years,187,2014
Female,80-84 years,294,2014
Female,Over 85,807,2014
Male,Under 5,16,2014
Male,5-9 years,3,2014
Male,10-14 years,4,2014
Male,15-19 years,19,2014
Male,20-24 years,26,2014
Male,25-29 years,32,2014
Male,30-34 years,31,2014
Male,35-39 years,34,2014
Male,40-44 years,28,2014
Male,45-49 years,55,2014
Male,50-54 years,107,2014
Male,55-59 years,133,2014
Male,60-64 years,184,2014
Male,65-69 years,189,2014
Male,70-74 years,194,2014
Male,75-79 years,233,2014
Male,80-84 years,259,2014
Male,Over 85,518,2014
