"Notes","Residence County","Residence County Code","Sex","Sex Code","Five-Year Age Groups","Five-Year Age Groups Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Beaverhead County, MT","30001","Female","F","< 1 year","1",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Beaverhead County, MT","30001","Female","F","1-4 years","1-4",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Beaverhead County, MT","30001","Female","F","5-9 years","5-9",0,1189,0.0,0.0,0.0
,"Beaverhead County, MT","30001","Female","F","10-14 years","10-14",0,1184,0.0,0.0,0.0
,"Beaverhead County, MT","30001","Female","F","15-19 years","15-19",0,1663,0.0,0.0,0.0
,"Beaverhead County, MT","30001","Female","F","20-24 years","20-24",0,2278,0.0,0.0,0.0
,"Beaverhead County, MT","30001","Female","F","25-29 years","25-29",Suppressed,1276,Suppressed,Suppressed,Suppressed
,"Beaverhead County, MT","30001","Female","F","30-34 years","30-34",Suppressed,1344,Suppressed,Suppressed,Suppressed
,"Beaverhead County, MT","30001","Female","F","35-39 years","35-39",0,1370,0.0,0.0,0.0
,"Beaverhead County, MT","30001","Female","F","40-44 years","40-44",0,1242,0.0,0.0,0.0
,"Beaverhead County, MT","30001","Female","F","45-49 years","45-49",Suppressed,1071,Suppressed,Suppressed,Suppressed
,"Beaverhead County, MT","30001","Female","F","50-54 years","50-54",Suppressed,1184,Suppressed,Suppressed,Suppressed
,"Beaverhead County, MT","30001","Female","F","55-59 years","55-59",Suppressed,1499,Suppressed,Suppressed,Suppressed
,"Beaverhead County, MT","30001","Female","F","60-64 years ","60-64",Suppressed,1789,Suppressed,Suppressed,Suppressed
,"Beaverhead County, MT","30001","Female","F","65-69 years","65-69",16,1897,843.4,482.1,1369.7
,"Beaverhead County, MT","30001","Female","F","70-74 years","70-74",29,1437,2018.1,1351.6,2898.3
,"Beaverhead County, MT","30001","Female","F","75-79 years","75-79",38,1062,3578.2,2532.1,4911.3
,"Beaverhead County, MT","30001","Female","F","80-84 years","80-84",44,699,6294.7,4573.7,8450.3
,"Beaverhead County, MT","30001","Female","F","85-89 years","85-89",50,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Beaverhead County, MT","30001","Female","F","90-94 years","90-94",44,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Beaverhead County, MT","30001","Female","F","95-99 years","95-99",18,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Beaverhead County, MT","30001","Female","F","100+ years","100+",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Beaverhead County, MT","30001","Female","F","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","Beaverhead County, MT","30001","Female","F",,,267,23753,1124.1,989.2,1258.9
,"Beaverhead County, MT","30001","Male","M","< 1 year","1",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Beaverhead County, MT","30001","Male","M","1-4 years","1-4",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Beaverhead County, MT","30001","Male","M","5-9 years","5-9",0,1079,0.0,0.0,0.0
,"Beaverhead County, MT","30001","Male","M","10-14 years","10-14",0,1079,0.0,0.0,0.0
,"Beaverhead County, MT","30001","Male","M","15-19 years","15-19",Suppressed,1888,Suppressed,Suppressed,Suppressed
,"Beaverhead County, MT","30001","Male","M","20-24 years","20-24",Suppressed,2307,Suppressed,Suppressed,Suppressed
,"Beaverhead County, MT","30001","Male","M","25-29 years","25-29",Suppressed,1471,Suppressed,Suppressed,Suppressed
,"Beaverhead County, MT","30001","Male","M","30-34 years","30-34",Suppressed,1313,Suppressed,Suppressed,Suppressed
,"Beaverhead County, MT","30001","Male","M","35-39 years","35-39",Suppressed,1394,Suppressed,Suppressed,Suppressed
