Var,Cohort,Sex
S0101_C02_002,Under 5,Male
S0101_C02_003,5-9 years,Male
S0101_C02_004,10-14 years,Male
S0101_C02_005,15-19 years,Male
S0101_C02_006,20-24 years,Male
S0101_C02_007,25-29 years,Male
S0101_C02_008,30-34 years,Male
S0101_C02_009,35-39 years,Male
S0101_C02_010,40-44 years,Male
S0101_C02_011,45-49 years,Male
S0101_C02_012,50-54 years,Male
S0101_C02_013,55-59 years,Male
S0101_C02_014,60-64 years,Male
S0101_C02_015,65-69 years,Male
S0101_C02_016,70-74 years,Male
S0101_C02_017,75-79 years,Male
S0101_C02_018,80-84 years,Male
S0101_C02_019,Over 85,Male
S0101_C03_002,Under 5,Female
S0101_C03_003,5-9 years,Female
S0101_C03_004,10-14 years,Female
S0101_C03_005,15-19 years,Female
S0101_C03_006,20-24 years,Female
S0101_C03_007,25-29 years,Female
S0101_C03_008,30-34 years,Female
S0101_C03_009,35-39 years,Female
S0101_C03_010,40-44 years,Female
S0101_C03_011,45-49 years,Female
S0101_C03_012,50-54 years,Female
S0101_C03_013,55-59 years,Female
S0101_C03_014,60-64 years,Female
S0101_C03_015,65-69 years,Female
S0101_C03_016,70-74 years,Female
S0101_C03_017,75-79 years,Female
S0101_C03_018,80-84 years,Female
S0101_C03_019,Over 85,Female
